"bv421 IgM","pe empty Klickmer"
4696.63,-23.3509
7362.22,541.945
13889.6,49.4612
997.808,-24.4099
1004.03,21.6612
17706,5.96336
785.123,-12.4962
2348.68,72.3567
3259.03,-6.72465
24730.1,-12.761
782.511,20.6483
7261.6,64.1931
18381.2,-24.0393
5517.54,57.5658
5713.61,10.6893
26238.6,31.1148
12526.1,59.0292
3897.19,-24.6217
2834.24,-10.8018
4938.05,55.0894
902.672,-0.79425
1979.16,34.8851
8179.53,63.0814
918.659,-3.54765
25305.8,39.6686
4873.48,-30.0756
6868.83,-9.2133
789.511,79.0115
3334.53,23.4618
1324.91,-20.4916
1133.43,-0.68835
1065.57,19.0728
4599.51,27.9072
8553.7,-50.832
7622.5,46.4221
1684.82,45.9718
1180.61,91.9085
3975.93,32.8592
987.934,-1.85325
4670.14,29.5954
4851.53,71.9683
820.44,-2.6475
1574.63,-22.0801
998.853,80.7846
4816.53,69.97
12742.9,14.2902
11051.4,26.4441
1112.85,0.956361
44113,33.3094
4729.02,-2.6475
16313.1,16.372
4879.59,-7.3071
12223.3,42.37
4748.04,42.989
3930,76.6278
1109.09,49.63
35933,62.1811
5582.38,43.4955
3294.51,52.613
1070.17,39.1621
1260.86,68.8596
1596.84,75.297
17831.8,-46.7548
39337.3,74.9642
755.03,10.408
1210.65,14.2339
23356.1,24.1933
23019.1,-7.2012
39781.9,37.4738
7009.32,3.4317
34336,-34.6823
1232.07,72.2457
908.575,63.9152
7201.1,62.859
28953.7,9.17024
753.411,84.2184
771.33,63.804
4401.66,2.13776
28397,45.409
6461.22,36.9111
2769.61,25.2624
5183.96,-1.11195
9596.65,43.4393
13483.1,36.4046
1751.17,41.357
2696.36,79.7873
33948,-5.98335
2549.19,-20.5976
1262.06,31.8463
3606.35,2.41905
2890.82,69.859
1005.28,-20.5446
1074.29,-0.90015
19178.6,58.5789
1592.71,23.4055
2852.89,-29.2813
881.983,54.3014
1737.53,13.0524
14213.9,-12.708
21205.6,118.871
14022.3,92.7929
2914.07,53.626
1139.96,10.0142
38080.5,72.1348
1536.03,107.916
1112.8,13.7838
1377.67,86.2665
4119.44,-8.94855
1325.48,-6.7776
34300.3,48.2793
3661.73,33.2532
18082.4,60.0423
7384.01,-15.0907
1208.4,32.803
60521.9,-31.8759
818.663,-33.2526
6319.7,41.7509
1812.14,40.963
29657.7,75.6297
45782.1,32.5216
4850.23,21.5486
1842.33,-4.81845
1142.05,72.8561
9781.12,-35.7942
7245.93,64.1375
46400.1,72.1348
29570.3,-21.0211
23457.1,26.8943
45168.9,-13.0257
2066.56,-34.8941
27269.8,-11.9137
5932.72,-19.6445
1059.72,17.2723
4235.47,21.7737
18343.1,-25.7866
8290.97,-48.6081
13374.2,37.0799
2572.6,-13.767
20838.5,30.1581
1083.7,44.4523
1202.08,20.0294
3869.97,42.1448
9636.98,27.0069
1823.99,67.6933
791.915,31.2836
3966.99,-5.34795
1561.16,8.83266
4818.78,66.5268
750.799,50.7557
2732.57,-6.2481
6419.64,109.679
12333.8,40.9067
7264.16,31.7338
1459.33,-16.2556
5685.71,-5.77155
38912.7,19.0728
5312.07,91.8532
30013.6,13.5588
28323.7,50.5868
5246.5,33.1406
1002.77,34.041
5075.03,23.1242
27381.4,39.331
1521.4,5.68206
15206.7,2.81286
20033.4,69.3038
6280.93,4.55687
32085.8,55.9899
4010.98,5.73832
2008.99,57.791
6844.75,-38.9712
2130.14,-4.5537
4389.54,-21.8154
28599,57.003
5833.36,-5.7186
2210.55,68.6375
2070.8,-5.1891
1544.38,10.5205
4782.36,3.09415
30927.3,-16.7322
3713.35,40.963
28455.1,-2.6475
1438.38,74.0767
29797.8,0.450051
10899.9,55.2582
13094.9,53.2883
21244.9,21.3236
3577.67,64.3042
5728.03,75.2415
18137.7,66.2491
14372.2,27.7947
979.575,44.1709
31626,-31.5582
1902.47,49.2361
15631.6,9.62033
14864.7,29.4828
38322.5,-35.1588
30513.1,36.0669
930.361,53.5698
898.022,-18.5854
1046.5,43.7206
9607.41,43.0453
2570.72,-16.7852
4119.18,52.9507
2904.19,44.2272
2106.69,-1.4826
14563.6,18.2851
21679.3,48.7858
27740.1,47.6602
4764.44,56.3839
982.71,-20.121
